ai_likelihood,domain,llm_prediction_CLAUDE,llm_prediction_DEEPSEEK,llm_prediction_GOOGLE,llm_prediction_GPT35,llm_prediction_GPT4,llm_prediction_GROK,llm_prediction_HUMAN,llm_prediction_NOVA,llm_prediction_OPENAI_O_SERIES,llm_prediction_OTHER,paper_id,process
8.708900875515408e-06,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2042765216,original
0.0002757708231608073,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1530428515,original
8.841355641682943e-06,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2407031248,original
1.5232298109266494e-06,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2113260636,original
3.311369154188368e-06,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2107024123,original
7.384353213840061e-06,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2915231226,original
4.635916815863716e-07,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2560036832,original
1.2583202785915798e-06,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W630428508,original
6.159146626790365e-06,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2187748137,original
7.28501213921441e-07,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2244645465,original
4.635916815863716e-07,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1801943846,original
6.854534149169922e-06,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W920370171,original
5.39753172132704e-06,political_science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2885652196,original
4.076295428805881e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2148164617,original
4.109409120347765e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2008346984,original
9.602970547146267e-07,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2130539005,original
1.5397866566975914e-05,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W843961839,original
2.5828679402669272e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2568300219,original
1.1258655124240452e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2093070558,original
1.9205941094292534e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W1906136039,original
1.1920928955078125e-06,theology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W2169513634,original
